tar_area,tar_layer,tar_pop,src_area,src_layer,src_pop,syn_num,w,w_sd
bankssts,II/III,E,bankssts,II/III,E,166215805,16.448836593433423,1.6448836593433425
bankssts,II/III,E,bankssts,II/III,I,155678399,-82.24418296716713,8.224418296716713
bankssts,II/III,E,bankssts,IV,E,31015444,32.89767318686685,3.289767318686685
bankssts,II/III,E,bankssts,IV,I,15746167,-82.24418296716713,8.224418296716713
bankssts,II/III,E,bankssts,V,E,26592587,16.448836593433423,1.6448836593433425
bankssts,II/III,E,bankssts,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,bankssts,VI,E,4428272,16.448836593433423,1.6448836593433425
bankssts,II/III,E,bankssts,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,caudalanteriorcingulate,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,caudalanteriorcingulate,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,caudalanteriorcingulate,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,caudalanteriorcingulate,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,caudalanteriorcingulate,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,caudalanteriorcingulate,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,caudalanteriorcingulate,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,caudalanteriorcingulate,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,caudalmiddlefrontal,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,caudalmiddlefrontal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,caudalmiddlefrontal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,caudalmiddlefrontal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,caudalmiddlefrontal,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,caudalmiddlefrontal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,caudalmiddlefrontal,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,caudalmiddlefrontal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,cuneus,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,cuneus,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,cuneus,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,cuneus,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,cuneus,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,cuneus,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,cuneus,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,cuneus,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,entorhinal,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,entorhinal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,entorhinal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,entorhinal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,entorhinal,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,entorhinal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,entorhinal,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,entorhinal,VI,I,0,-82.24418296716713,8.224418296716713
