area,layer,pop,neuron_num
bankssts,II/III,E,39130
bankssts,II/III,I,21070
bankssts,IV,E,17380
bankssts,IV,I,4620
bankssts,V,E,20280
bankssts,V,I,5720
bankssts,VI,E,14534
bankssts,VI,I,2366
caudalanteriorcingulate,II/III,E,13179
caudalanteriorcingulate,II/III,I,7096
caudalanteriorcingulate,IV,E,0
caudalanteriorcingulate,IV,I,0
caudalanteriorcingulate,V,E,11954
caudalanteriorcingulate,V,I,3372
caudalanteriorcingulate,VI,E,18297
caudalanteriorcingulate,VI,I,2979
caudalmiddlefrontal,II/III,E,26536
caudalmiddlefrontal,II/III,I,14289
caudalmiddlefrontal,IV,E,0
caudalmiddlefrontal,IV,I,0
caudalmiddlefrontal,V,E,9262
caudalmiddlefrontal,V,I,2612
caudalmiddlefrontal,VI,E,13207
caudalmiddlefrontal,VI,I,2150
cuneus,II/III,E,35311
cuneus,II/III,I,19014
cuneus,IV,E,18249
cuneus,IV,I,4851
cuneus,V,E,11466
cuneus,V,I,3234
cuneus,VI,E,10954
cuneus,VI,I,1783
entorhinal,II/III,E,15987
entorhinal,II/III,I,8608
entorhinal,IV,E,0
entorhinal,IV,I,0
entorhinal,V,E,4727
entorhinal,V,I,1333
entorhinal,VI,E,6505
entorhinal,VI,I,1059
frontalpole,II/III,E,22425
frontalpole,II/III,I,12075
frontalpole,IV,E,18960
frontalpole,IV,I,5040
frontalpole,V,E,12272
frontalpole,V,I,3461
frontalpole,VI,E,18060
frontalpole,VI,I,2940
fusiform,II/III,E,42250
fusiform,II/III,I,22750
fusiform,IV,E,15800
fusiform,IV,I,4200
fusiform,V,E,16575
fusiform,V,I,4675
fusiform,VI,E,13868
fusiform,VI,I,2258
inferiorparietal,II/III,E,25350
inferiorparietal,II/III,I,13650
inferiorparietal,IV,E,27650
inferiorparietal,IV,I,7350
inferiorparietal,V,E,7722
inferiorparietal,V,I,2178
inferiorparietal,VI,E,22188
inferiorparietal,VI,I,3612
inferiortemporal,II/III,E,22912
inferiortemporal,II/III,I,12338
inferiortemporal,IV,E,17064
inferiortemporal,IV,I,4536
inferiortemporal,V,E,31200
inferiortemporal,V,I,8800
inferiortemporal,VI,E,36120
inferiortemporal,VI,I,5880
insula,II/III,E,24570
insula,II/III,I,13230
insula,IV,E,19552
insula,IV,I,5197
insula,V,E,15113
insula,V,I,4262
insula,VI,E,17823
insula,VI,I,2902
isthmuscingulate,II/III,E,20950
isthmuscingulate,II/III,I,11280
isthmuscingulate,IV,E,10902
isthmuscingulate,IV,I,2898
isthmuscingulate,V,E,14820
isthmuscingulate,V,I,4180
isthmuscingulate,VI,E,17350
isthmuscingulate,VI,I,2824
lateraloccipital,II/III,E,32110
lateraloccipital,II/III,I,17290
lateraloccipital,IV,E,0
lateraloccipital,IV,I,0
lateraloccipital,V,E,10920
lateraloccipital,V,I,3080
lateraloccipital,VI,E,10084
lateraloccipital,VI,I,1642
lateralorbitofrontal,II/III,E,15600
lateralorbitofrontal,II/III,I,8400
lateralorbitofrontal,IV,E,10665
lateralorbitofrontal,IV,I,2835
lateralorbitofrontal,V,E,16380
lateralorbitofrontal,V,I,4620
lateralorbitofrontal,VI,E,17200
lateralorbitofrontal,VI,I,2800
lingual,II/III,E,36584
lingual,II/III,I,19699
lingual,IV,E,17959
lingual,IV,I,4774
lingual,V,E,14404
lingual,V,I,4063
lingual,VI,E,12148
lingual,VI,I,1978
medialorbitofrontal,II/III,E,16071
medialorbitofrontal,II/III,I,8654
medialorbitofrontal,IV,E,4148
medialorbitofrontal,IV,I,1102
medialorbitofrontal,V,E,11290
