# Neuron   Time (s)                 
1373       2.780000000000000353e-03
1523       3.660000000000000059e-03
919        3.919999999999999873e-03
347        4.420000000000000318e-03
746        5.219999999999999814e-03
1083       5.300000000000000024e-03
615        5.460000000000000443e-03
1154       6.759999999999999516e-03
267        7.120000000000000460e-03
1055       7.520000000000000642e-03
1590       8.160000000000000586e-03
230        8.640000000000000110e-03
906        8.740000000000001240e-03
1210       9.040000000000001160e-03
134        9.320000000000000159e-03
1014       1.060000000000000005e-02
970        1.177999999999999881e-02
1353       1.217999999999999985e-02
1089       1.359999999999999924e-02
1297       1.424000000000000092e-02
1048       1.428000000000000103e-02
1447       1.474000000000000137e-02
286        1.488000000000000086e-02
798        1.490000000000000005e-02
1574       1.492000000000000097e-02
938        1.593999999999999931e-02
544        1.754000000000000004e-02
559        1.890000000000000360e-02
1442       1.962000000000000202e-02
1178       2.053999999999999923e-02
168        2.069999999999999965e-02
313        2.296000000000000124e-02
395        2.308000000000000329e-02
608        2.326000000000000290e-02
1584       2.382000000000000089e-02
227        2.401999999999999968e-02
308        2.476000000000000076e-02
1059       2.482000000000000178e-02
659        2.508000000000000160e-02
260        2.532000000000000223e-02
947        2.542000000000000162e-02
351        2.544000000000000081e-02
1328       2.558000000000000204e-02
665        2.590000000000000288e-02
1072       2.680000000000000090e-02
698        2.728000000000000216e-02
64         2.766000000000000056e-02
861        2.926000000000000129e-02
763        2.932000000000000231e-02
1013       2.936000000000000068e-02
593        3.026000000000000217e-02
14         3.036000000000000157e-02
597        3.092000000000000304e-02
278        3.133999999999999980e-02
1250       3.150000000000000022e-02
1338       3.214000000000000190e-02
471        3.248000000000000193e-02
972        3.303999999999999992e-02
265        3.337999999999999995e-02
98         3.355999999999999955e-02
923        3.434000000000000247e-02
1481       3.443999999999999839e-02
447        3.454000000000000126e-02
1582       3.661999999999999977e-02
291        3.703999999999999654e-02
293        3.798000000000000681e-02
1328       3.835999999999999827e-02
492        3.907999999999999668e-02
1196       3.910000000000000281e-02
201        3.921999999999999792e-02
961        4.188000000000000056e-02
1350       4.200000000000000261e-02
574        4.268000000000000266e-02
128        4.454000000000000320e-02
1411       4.510000000000000120e-02
1408       4.562000000000000083e-02
642        4.632000000000000006e-02
35         4.667999999999999927e-02
126        4.688000000000000500e-02
1093       4.711999999999999522e-02
1260       4.720000000000000584e-02
894        5.000000000000000278e-02
1281       5.057999999999999996e-02
365        5.116000000000000408e-02
752        5.202000000000000374e-02
342        5.234000000000000458e-02
1297       5.358000000000000262e-02
230        5.424000000000000349e-02
1240       5.428000000000000186e-02
589        5.444000000000000228e-02
806        5.460000000000000270e-02
1580       5.475999999999999618e-02
709        5.478000000000000230e-02
16         5.670000000000000734e-02
1451       5.688000000000000694e-02
326        5.725999999999999840e-02
937        5.756000000000000005e-02
1526       5.764000000000000373e-02
716        5.858000000000000013e-02
297        5.918000000000000344e-02
827        6.031999999999999862e-02
1069       6.088000000000000356e-02
528        6.094000000000000111e-02
771        6.103999999999999704e-02
862        6.117999999999999827e-02
752        6.140000000000000319e-02
648        6.356000000000000538e-02
978        6.400000000000000133e-02
593        6.401999999999999358e-02
1520       6.562000000000001165e-02
129        6.601999999999999535e-02
1275       6.601999999999999535e-02
1137       6.670000000000000928e-02
1244       6.673999999999999377e-02
914        6.709999999999999298e-02
132        6.922000000000000375e-02
452        7.000000000000000666e-02
890        7.122000000000000552e-02
1046       7.190000000000000557e-02
1408       7.200000000000000844e-02
