# Neuron   Time (s)                 
386        3.480000000000000020e-03
99         3.680000000000000111e-03
107        3.720000000000000216e-03
381        3.899999999999999821e-03
158        3.939999999999999926e-03
207        4.660000000000000080e-03
396        5.179999999999999709e-03
262        5.240000000000000734e-03
253        5.360000000000000181e-03
124        6.000000000000000125e-03
213        6.279999999999999992e-03
141        7.980000000000000981e-03
319        8.779999999999999610e-03
331        8.779999999999999610e-03
23         9.079999999999999530e-03
346        9.640000000000000999e-03
70         9.820000000000000603e-03
95         1.062000000000000097e-02
224        1.096000000000000099e-02
336        1.151999999999999899e-02
34         1.196000000000000188e-02
124        1.201999999999999943e-02
123        1.240000000000000130e-02
35         1.338000000000000127e-02
228        1.680000000000000243e-02
5          1.705999999999999878e-02
218        1.714000000000000246e-02
384        1.721999999999999920e-02
165        1.826000000000000192e-02
385        1.899999999999999953e-02
96         1.980000000000000163e-02
286        1.984000000000000000e-02
82         2.126000000000000112e-02
287        2.158000000000000196e-02
93         2.394000000000000294e-02
377        2.486000000000000015e-02
214        2.524000000000000202e-02
369        2.528000000000000039e-02
354        2.556000000000000286e-02
238        2.638000000000000067e-02
375        2.698000000000000051e-02
316        2.717999999999999930e-02
296        2.746000000000000177e-02
106        2.929999999999999966e-02
336        2.950000000000000192e-02
209        3.002000000000000154e-02
286        3.008000000000000257e-02
361        3.008000000000000257e-02
299        3.096000000000000141e-02
0          3.124000000000000388e-02
28         3.172000000000000514e-02
379        3.422000000000000042e-02
193        3.432000000000000328e-02
328        3.475999999999999923e-02
202        3.480000000000000454e-02
366        3.504000000000000170e-02
67         3.532000000000000417e-02
159        3.692000000000000143e-02
184        3.806000000000000355e-02
239        3.846000000000000113e-02
165        3.860000000000000236e-02
93         3.884000000000000646e-02
199        3.893999999999999545e-02
237        3.982000000000000123e-02
258        3.982000000000000123e-02
202        3.992000000000000409e-02
155        3.996000000000000246e-02
163        4.021999999999999881e-02
30         4.106000000000000622e-02
363        4.146000000000000379e-02
386        4.254000000000000142e-02
57         4.426000000000000073e-02
295        4.448000000000000564e-02
104        4.480000000000000648e-02
241        4.624000000000000332e-02
139        4.664000000000000090e-02
346        4.714000000000000135e-02
182        4.735999999999999932e-02
232        4.738000000000000544e-02
250        4.746000000000000218e-02
92         4.750000000000000056e-02
189        4.796000000000000263e-02
300        4.920000000000000068e-02
164        4.970000000000000112e-02
285        5.004000000000000115e-02
337        5.202000000000000374e-02
397        5.248000000000000581e-02
324        5.272000000000000297e-02
328        5.296000000000000013e-02
374        5.312000000000000749e-02
325        5.362000000000000793e-02
385        5.457999999999999657e-02
323        5.466000000000000719e-02
334        5.525999999999999662e-02
126        5.621999999999999914e-02
108        5.628000000000000363e-02
116        5.712000000000000410e-02
28         5.852000000000000257e-02
245        5.909999999999999976e-02
372        5.960000000000000020e-02
254        5.974000000000000143e-02
260        6.020000000000000351e-02
186        6.067999999999999783e-02
248        6.130000000000000726e-02
207        6.176000000000000240e-02
132        6.185999999999999832e-02
131        6.264000000000000123e-02
114        6.294000000000000983e-02
355        6.303999999999999881e-02
4          6.314000000000000168e-02
305        6.456000000000000627e-02
121        6.542000000000000592e-02
133        6.643999999999999906e-02
392        6.670000000000000928e-02
357        6.675999999999999990e-02
171        6.722000000000000197e-02
160        6.773999999999999466e-02
2          6.894000000000000128e-02
192        6.912000000000000088e-02
245        6.922000000000000375e-02
352        7.064000000000000834e-02
85         7.084000000000000019e-02
169        7.094000000000000306e-02
74         7.163999999999999535e-02
38         7.232000000000000928e-02
130        7.346000000000001140e-02
94         7.360000000000001263e-02
14         7.394000000000000572e-02
27         7.407999999999999308e-02
384        7.435999999999999555e-02
208        7.507999999999999396e-02
36         7.640000000000000957e-02
13         7.665999999999999204e-02
241        7.684000000000000552e-02
162        7.842000000000000359e-02
64         7.868000000000001382e-02
206        7.882000000000001505e-02
163        7.896000000000001628e-02
101        7.970000000000000695e-02
147        8.010000000000000453e-02
232        8.084000000000000907e-02
130        8.098000000000001031e-02
116        8.215999999999999692e-02
342        8.336000000000000354e-02
270        8.360000000000000764e-02
146        8.368000000000000438e-02
154        8.432000000000000606e-02
385        8.456000000000001016e-02
364        8.546000000000000818e-02
50         8.580000000000000127e-02
351        8.583999999999999964e-02
155        8.592000000000001025e-02
87         8.600000000000000699e-02
200        8.601999999999999924e-02
359        8.630000000000000171e-02
13         8.762000000000000344e-02
280        8.913999999999999702e-02
358        8.966000000000000358e-02
247        8.968000000000000971e-02
96         8.999999999999999667e-02
359        9.134000000000000452e-02
236        9.154000000000001025e-02
217        9.166000000000000536e-02
88         9.188000000000000334e-02
107        9.213999999999999968e-02
314        9.346000000000001529e-02
44         9.396000000000001573e-02
262        9.507999999999999785e-02
302        9.510000000000000397e-02
270        9.521999999999999909e-02
113        9.537999999999999257e-02
38         9.593999999999999750e-02
379        9.626000000000001222e-02
85         9.643999999999999795e-02
74         9.660000000000000531e-02
159        9.737999999999999434e-02
62         9.832000000000000461e-02
326        9.840000000000000135e-02
60         9.862000000000001321e-02
261        9.886000000000000343e-02
85         1.003200000000000064e-01
68         1.003200000000000064e-01
252        1.004400000000000015e-01
184        1.009600000000000081e-01
186        1.009800000000000003e-01
250        1.012200000000000044e-01
38         1.019800000000000012e-01
45         1.022400000000000114e-01
267        1.023799999999999988e-01
50         1.034199999999999980e-01
306        1.035200000000000009e-01
201        1.059800000000000048e-01
56         1.062400000000000150e-01
356        1.063800000000000023e-01
370        1.067600000000000077e-01
293        1.072400000000000159e-01
287        1.076200000000000073e-01
118        1.082800000000000012e-01
314        1.084200000000000025e-01
14         1.095600000000000046e-01
351        1.100600000000000050e-01
28         1.105199999999999932e-01
367        1.109399999999999969e-01
217        1.110199999999999937e-01
360        1.111800000000000149e-01
281        1.115600000000000064e-01
93         1.116599999999999954e-01
369        1.117999999999999966e-01
106        1.129399999999999987e-01
3          1.130000000000000032e-01
123        1.135000000000000037e-01
60         1.135800000000000004e-01
340        1.141400000000000053e-01
